book_id,title,author,genre,rating,description,image_url
209,Dr Sleep,Stephen King,Horror,4.5,Psychic battles and haunted trauma,https://covers.openlibrary.org/b/id/10380711-L.jpg
210,Carrie,Stephen King,Horror,4.6,Telekinetic revenge high school horror,https://covers.openlibrary.org/b/id/877233-L.jpg
211,The Final Empire,Brandon Sanderson,Fantasy,4.9,Magical rebellion against immortal ruler,https://covers.openlibrary.org/b/id/10784727-L.jpg
212,Words of Radiance,Brandon Sanderson,Fantasy,4.9,Epic battles and magical storms,https://covers.openlibrary.org/b/id/10091587-L.jpg
213,Elantris,Brandon Sanderson,Fantasy,4.6,Fallen magical city redemption story,https://covers.openlibrary.org/b/id/7431420-L.jpg
214,The Blade Itself,Joe Abercrombie,Fantasy,4.7,Dark fantasy with brutal politics,https://covers.openlibrary.org/b/id/6538038-L.jpg
215,Assassin's Apprentice,Robin Hobb,Fantasy,4.8,Royal assassin fantasy training story,https://covers.openlibrary.org/b/id/178140-L.jpg
216,The Black Prism,Brent Weeks,Fantasy,4.7,Magic based on light colors,https://covers.openlibrary.org/b/id/292473-M.jpg
217,The Eye of the World,Robert Jordan,Fantasy,4.8,Chosen heroes against dark lord,https://covers.openlibrary.org/b/id/9123455-L.jpg
218,The Poppy War,R.F. Kuang,Fantasy,4.7,War inspired by Chinese history,https://covers.openlibrary.org/b/id/9670308-L.jpg
219,Legendborn,Tracy Deonn,Fantasy,4.6,Modern Arthurian magic mystery,https://covers.openlibrary.org/b/id/3920675-L.jpg
220,Shadow and Bone,Leigh Bardugo,Fantasy,4.5,Dark magical kingdom adventure,https://covers.openlibrary.org/b/id/1857678-L.jpg
221,Leviathan Wakes,James S.A. Corey,Sci-Fi,4.8,Space detective interplanetary mystery,https://covers.openlibrary.org/b/id/6896731-L.jpg
222,Old Man's War,John Scalzi,Sci-Fi,4.7,Elderly soldiers fight in space,https://covers.openlibrary.org/b/id/433339-M.jpg
223,The Left Hand of Darkness,Ursula K. Le Guin,Sci-Fi,4.8,Gender and politics alien world,https://covers.openlibrary.org/b/id/5782748-L.jpg
224,Red Rising,Pierce Brown,Sci-Fi,4.9,Rebellion in futuristic caste system,https://covers.openlibrary.org/b/id/1120915-L.jpg
225,The Three Body Problem,Liu Cixin,Sci-Fi,4.9,First contact with alien civilization,https://covers.openlibrary.org/b/id/2977771-L.jpg
226,Ender's Game,Orson Scott Card,Sci-Fi,4.8,Child genius military strategy training,https://covers.openlibrary.org/b/id/1471794-L.jpg
227,Contact,Carl Sagan,Sci-Fi,4.7,Humanity receives alien message,https://covers.openlibrary.org/b/id/156623-L.jpg
228,Ringworld,Larry Niven,Sci-Fi,4.6,Exploration of giant alien structure,https://covers.openlibrary.org/b/id/240726-L.jpg
229,The Forever War,Joe Haldeman,Sci-Fi,4.7,Relativistic war across galaxies,https://covers.openlibrary.org/b/id/7984916-L.jpg
230,Starship Troopers,Robert Heinlein,Sci-Fi,4.5,Military sci-fi alien warfare,https://covers.openlibrary.org/b/id/8277896-L.jpg
231,The Rosie Project,Graeme Simsion,Romance,4.6,Awkward professor searches for love,https://covers.openlibrary.org/b/id/8231856-L.jpg
232,Beach Read,Emily Henry,Romance,4.5,Rival writers fall in love,https://covers.openlibrary.org/b/id/9259256-L.jpg
233,Book Lovers,Emily Henry,Romance,4.7,Publishing rivals romantic comedy,https://covers.openlibrary.org/b/id/9251996-L.jpg
234,People We Meet on Vacation,Emily Henry,Romance,4.6,Best friends vacation romance story,https://covers.openlibrary.org/b/id/861609-M.jpg
235,Red White and Royal Blue,Casey McQuiston,Romance,4.8,Royal romance and political drama,https://covers.openlibrary.org/b/id/823996-L.jpg
236,Twilight,Stephenie Meyer,Romance,4.4,Vampire human teenage romance,https://covers.openlibrary.org/b/id/9443410-L.jpg
237,New Moon,Stephenie Meyer,Romance,4.3,Heartbreak and supernatural romance,https://covers.openlibrary.org/b/id/1030540-L.jpg
238,Eclipse,Stephenie Meyer,Romance,4.3,Love triangle vampire conflict,https://covers.openlibrary.org/b/id/13196779-L.jpg
239,Breaking Dawn,Stephenie Meyer,Romance,4.4,Final vampire romance showdown,https://covers.openlibrary.org/b/id/6556185-L.jpg
240,The Time Traveler's Wife,Audrey Niffenegger,Romance,4.7,Love story through time travel,https://covers.openlibrary.org/b/id/6462002-L.jpg
241,The Dry,Jane Harper,Mystery,4.6,Small town murder investigation drought,https://covers.openlibrary.org/b/id/6800586-L.jpg
242,In the Woods,Tana French,Mystery,4.5,Detective haunted by childhood trauma,https://covers.openlibrary.org/b/id/12436248-L.jpg
243,The Reversal,Michael Connelly,Mystery,4.4,Lawyer investigates reopened murder case,https://covers.openlibrary.org/b/id/6896731-L.jpg
244,The Lincoln Lawyer,Michael Connelly,Mystery,4.6,Defense attorney crime thriller,https://covers.openlibrary.org/b/id/433339-M.jpg
245,Silent Witness,Richard North Patterson,Mystery,4.3,Courtroom mystery and secrets,https://covers.openlibrary.org/b/id/6485029-L.jpg
246,The Bone Collector,Jeffery Deaver,Mystery,4.7,Forensic detective serial killer hunt,https://covers.openlibrary.org/b/id/6521659-L.jpg
247,Kiss the Girls,James Patterson,Thriller,4.5,Psychological serial killer suspense,https://covers.openlibrary.org/b/id/8664213-L.jpg
248,Along Came a Spider,James Patterson,Thriller,4.6,Detective pursues brilliant criminal mastermind,https://covers.openlibrary.org/b/id/42836788-L.jpg
249,The Firm,John Grisham,Thriller,4.7,Lawyer trapped in criminal conspiracy,https://covers.openlibrary.org/b/id/10045825-L.jpg
250,The Client,John Grisham,Thriller,4.5,Young boy witnesses mafia secret,https://covers.openlibrary.org/b/id/7996188-L.jpg
251,Thinking in Systems,Donella Meadows,Science,4.8,Systems thinking and complexity analysis,https://covers.openlibrary.org/b/id/6944900-L.jpg
252,The Gene,Siddhartha Mukherjee,Science,4.9,History and science of genetics,https://covers.openlibrary.org/b/id/8644111-L.jpg
253,The Emperor of All Maladies,Siddhartha Mukherjee,Science,4.8,Biography of cancer medical history,https://covers.openlibrary.org/b/id/9894504-L.jpg
254,Silent Spring,Rachel Carson,Science,4.7,Environmental science warning pesticides,https://covers.openlibrary.org/b/id/1055638-L.jpg
255,The Elegant Universe,Brian Greene,Science,4.7,String theory and modern physics,https://covers.openlibrary.org/b/id/1722161-L.jpg
256,Factfulness,Hans Rosling,Science,4.9,Data driven understanding of world,https://covers.openlibrary.org/b/id/8644111-L.jpg
257,Surely You're Joking Mr Feynman,Richard Feynman,Science,4.8,Adventures of famous physicist,https://covers.openlibrary.org/b/id/9410131-L.jpg
258,Why We Sleep,Matthew Walker,Science,4.9,Importance of sleep and health,https://covers.openlibrary.org/b/id/11599590-L.jpg
259,Behave,Robert Sapolsky,Science,4.8,Human behavior neuroscience exploration,https://covers.openlibrary.org/b/id/10045825-L.jpg
260,The Body,Bill Bryson,Science,4.7,Human body explained humorously,https://covers.openlibrary.org/b/id/10380711-L.jpg
261,The Millionaire Fastlane,MJ DeMarco,Finance,4.7,Fast wealth creation mindset,https://covers.openlibrary.org/b/id/877233-L.jpg
262,I Will Teach You To Be Rich,Ramit Sethi,Finance,4.6,Personal finance for young adults,https://covers.openlibrary.org/b/id/10784727-L.jpg
263,Your Money or Your Life,Vicki Robin,Finance,4.7,Financial independence and life balance,https://covers.openlibrary.org/b/id/10091587-L.jpg
264,The Total Money Makeover,Dave Ramsey,Finance,4.5,Debt reduction and savings strategy,https://covers.openlibrary.org/b/id/7431420-L.jpg
265,Think Like a Freak,Steven Levitt,Finance,4.4,Creative thinking and economic behavior,https://covers.openlibrary.org/b/id/6538038-L.jpg
266,Leaders Eat Last,Simon Sinek,Business,4.7,Leadership and team trust culture,https://covers.openlibrary.org/b/id/178140-L.jpg
267,Never Split the Difference,Chris Voss,Business,4.9,Negotiation techniques from FBI agent,https://covers.openlibrary.org/b/id/292473-M.jpg
268,Atomic Focus,Marco Peters,Business,4.4,Productivity and concentration methods,https://covers.openlibrary.org/b/id/9123455-L.jpg
269,Measure What Matters,John Doerr,Business,4.7,Objectives and key results strategy,https://covers.openlibrary.org/b/id/9670308-L.jpg
270,The Innovator's Dilemma,Clayton Christensen,Business,4.8,Disruptive innovation business theory,https://covers.openlibrary.org/b/id/3920675-L.jpg
271,Zero Fail,Carol Leonnig,Biography,4.6,Inside the secret service operations,https://covers.openlibrary.org/b/id/1857678-L.jpg
272,Into the Wild,Jon Krakauer,Biography,4.7,Young man abandons modern society,https://covers.openlibrary.org/b/id/6896731-L.jpg
273,When Breath Becomes Air,Paul Kalanithi,Biography,4.9,Doctor faces terminal illness meaning,https://covers.openlibrary.org/b/id/433339-M.jpg
274,Wild,Cheryl Strayed,Biography,4.6,Healing journey across Pacific Crest Trail,https://covers.openlibrary.org/b/id/5782748-L.jpg
275,Kitchen Confidential,Anthony Bourdain,Biography,4.7,Life inside restaurant industry,https://covers.openlibrary.org/b/id/1120915-L.jpg
276,The Sun Also Rises,Ernest Hemingway,Classic,4.5,Lost generation post war disillusionment,https://covers.openlibrary.org/b/id/2977771-L.jpg
277,A Tale of Two Cities,Charles Dickens,Classic,4.8,French revolution historical drama,https://covers.openlibrary.org/b/id/1471794-L.jpg
278,Great Expectations,Charles Dickens,Classic,4.7,Orphan's journey toward maturity,https://covers.openlibrary.org/b/id/156623-L.jpg
279,Moby Dick,Herman Melville,Classic,4.6,Obsessive hunt for giant whale,https://covers.openlibrary.org/b/id/240726-L.jpg
280,Heart of Darkness,Joseph Conrad,Classic,4.5,Colonialism and human darkness exploration,https://covers.openlibrary.org/b/id/7984916-L.jpg
281,The Stranger,Albert Camus,Philosophy,4.8,Existentialism and emotional detachment,https://covers.openlibrary.org/b/id/8277896-L.jpg
282,The Myth of Sisyphus,Albert Camus,Philosophy,4.7,Absurdism and meaning of life,https://covers.openlibrary.org/b/id/8231856-L.jpg
283,Being and Nothingness,Jean-Paul Sartre,Philosophy,4.5,Existential freedom and consciousness,https://covers.openlibrary.org/b/id/9259256-L.jpg
284,Walden,Henry David Thoreau,Philosophy,4.7,Simple living in nature reflection,https://covers.openlibrary.org/b/id/9251996-L.jpg
285,Letters from a Stoic,Seneca,Philosophy,4.8,Stoic wisdom through letters,https://covers.openlibrary.org/b/id/861609-M.jpg
286,Digital Minimalism,Cal Newport,Self-help,4.7,Reduce technology distraction and focus,https://covers.openlibrary.org/b/id/823996-L.jpg
287,The Happiness Advantage,Shawn Achor,Self-help,4.6,Positive psychology for success,https://covers.openlibrary.org/b/id/9443410-L.jpg
288,Tiny Habits,BJ Fogg,Self-help,4.5,Small behavior changes create success,https://covers.openlibrary.org/b/id/1030540-L.jpg
289,The Four Agreements,Don Miguel Ruiz,Self-help,4.7,Ancient wisdom for personal freedom,https://covers.openlibrary.org/b/id/13196779-L.jpg
290,Daring Greatly,Brene Brown,Self-help,4.8,Vulnerability courage and leadership,https://covers.openlibrary.org/b/id/6556185-L.jpg
291,The Compound Effect,Darren Hardy,Self-help,4.6,Small actions create huge results,https://covers.openlibrary.org/b/id/6462002-L.jpg
292,Richest Man in Babylon,George Clason,Finance,4.7,Ancient financial wisdom stories,https://covers.openlibrary.org/b/id/6800586-L.jpg
293,Tools of Titans,Tim Ferriss,Business,4.8,Habits of successful world performers,https://covers.openlibrary.org/b/id/12436248-L.jpg
294,Deep Survival,Laurence Gonzales,Psychology,4.5,Why people survive extreme danger,https://covers.openlibrary.org/b/id/6896731-L.jpg
295,Flow,Mihaly Csikszentmihalyi,Psychology,4.8,Optimal experience and happiness theory,https://covers.openlibrary.org/b/id/433339-M.jpg
296,Blink,Malcolm Gladwell,Psychology,4.7,Power of rapid thinking decisions,https://covers.openlibrary.org/b/id/6485029-L.jpg
297,Outliers,Malcolm Gladwell,Psychology,4.8,Hidden factors behind extraordinary success,https://covers.openlibrary.org/b/id/6521659-L.jpg
298,Talking to Strangers,Malcolm Gladwell,Psychology,4.5,Understanding communication misunderstandings society,https://covers.openlibrary.org/b/id/8664213-L.jpg
299,David and Goliath,Malcolm Gladwell,Psychology,4.6,Underdogs disadvantages and strength,https://covers.openlibrary.org/b/id/42836788-L.jpg
300,The Tipping Point,Malcolm Gladwell,Psychology,4.7,How small changes create trends,https://covers.openlibrary.org/b/id/10045825-L.jpg
